,group_count,row_count,marketer,prosecutor,field_count
0,432512,79080802,0.005469241447501,1,10
0,17824004,79080802,0.225389772855364,1,28
0,43538084,79080802,0.550551877306454,1,38
0,64042788,79080802,0.80983989009115,1,46
0,6866070,79080802,0.086823474552016,1,17
0,367546,79080802,0.004647727270141,1,18
0,12608073,79080802,0.159432791286057,1,31
0,72413485,79080802,0.915689815588871,1,48
0,1718468,79080802,0.021730533284172,1,39
0,68089326,79080802,0.861009553241506,1,40
0,75850165,79080802,0.959147644961921,1,63
0,6849,79080802,8.6607619381503E-05,1,5
0,7477592,79080802,0.094556350098726,1,22
0,55274681,79080802,0.698964598259891,1,25
0,76641329,79080802,0.96915214643372,1,40
0,27753277,79080802,0.350948350270904,1,37
0,1523786,79080802,0.01926872213562,1,18
0,1508403,79080802,0.019074199576277,1,36
0,614168,79080802,0.007766334994933,1,25
0,3404955,79080802,0.043056657417309,1,26
0,17429501,79080802,0.220401166391813,1,25
0,59947,79080802,0.000758047446206,1,5
0,39745775,79080802,0.50259701463321,1,55
0,9253,79080802,0.00011700690643,1,5
0,9066302,79080802,0.114646055309353,1,34
0,76151959,79080802,0.962963918853529,1,43
0,76748775,79080802,0.970510832705009,1,62
0,63744630,79080802,0.806069594488938,1,54
0,2151686,79080802,0.027208702309317,1,23
0,99666,79080802,0.001260305883089,1,9
0,71281314,79080802,0.901373180307402,1,24
0,1155146,79080802,0.01460716091372,1,16
0,33958955,79080802,0.429420973752896,1,29
0,29473,79080802,0.000372694753399,1,8
0,33682458,79080802,0.425924587866471,1,33
0,172082,79080802,0.002176027501593,1,13
0,65575110,79080802,0.829216552457321,1,47
0,379791,79080802,0.004802568896557,1,14
0,36567,79080802,0.000462400469838,1,11
0,1610800,79080802,0.020369039757589,1,39
0,1215785,79080802,0.015373958903452,1,13
0,68264,79080802,0.000863218357345,1,2
0,10790280,79080802,0.136446264164089,1,30
0,66802515,79080802,0.844737449678368,1,52
0,58467,79080802,0.000739332410918,1,12
0,17916751,79080802,0.226562585948483,1,21
0,15800382,79080802,0.199800477491364,1,31
0,69540609,79080802,0.879361453618035,1,61
0,2652519,79080802,0.033541882895927,1,17
0,5128,79080802,6.48450682126365E-05,1,2
0,41969657,79080802,0.530718656596325,1,11
